date,tid,ctype,cgender,category,paym,discapld,unitsold,ppu,totalsales,saleslevel
5/19/2023,NTC0058,Non-loyalty,M,Cyber services,Mobile Money,No,1,10,10,Low
5/19/2023,NTC0059,Loyalty,M,Stationery & Office Supplies,Mobile Money,No,1,10,10,Low
5/19/2023,NTC0060,Loyalty,M,Stationery & Office Supplies,Cash,No,1,10,10,Low
5/19/2023,NTC0061,Non-loyalty,M,Food & Drinks,Mobile Money,Yes,1,70,70,Low
5/19/2021,NTC0062,Loyalty,M,Food & Drinks,Mobile Money,No,1,50,50,Low
5/20/2023,NTC0063,Loyalty,M,Cyber services,Mobile Money,No,91,10,910,High
5/20/2023,NTC0064,Loyalty,M,Cyber services,Mobile Money,No,2,30,60,Low
5/20/2023,NTC0065,Loyalty,M,Cyber services,Cash,No,1,50,50,Low
5/20/2023,NTC0066,Non-loyalty,F,Cyber services,Cash,Yes,1,300,300,High
5/20/2023,NTC0067,Non-loyalty,F,Online support services,Cash,Yes,1,50,50,Low
5/20/2023,NTC0068,Loyalty,M,Cyber services,Cash,No,75,2,150,High
5/20/2023,NTC0069,Non-loyalty,F,Food & Drinks,Cash,No,2,70,140,High
5/22/2023,NTC0070,Loyalty,F,Food & Drinks,Cash,No,4,70,280,High
5/23/2023,NTC0071,Non-loyalty,F,Cyber services,Mobile Money,No,6,10,60,Low
5/23/2023,NTC0072,Loyalty,F,Cyber services,Cash,No,9,5,45,Low
5/24/2023,NTC0073,Loyalty,M,Stationery & Office Supplies,Cash,Yes,20,2,40,Low
5/24/2023,NTC0074,Non-loyalty,F,Cyber services,Mobile Money,No,1,10,10,Low
5/24/2023,NTC0075,Non-loyalty,M,Cyber services,Cash,Yes,10,5,50,Low
5/24/2023,NTC0076,Loyalty,F,Online support services,Mobile Money,No,1,300,300,High
5/24/2023,NTC0077,Loyalty,F,Food & Drinks,Mobile Money,Yes,1,30,30,Low
5/25/2023,NTC0078,Non-loyalty,F,Online support services,Cash,Yes,1,180,180,High
5/25/2023,NTC0079,Loyalty,M,Food & Drinks,Mobile Money,No,12,5,60,Low
5/27/2023,NTC0080,Non-loyalty,F,Food & Drinks,Cash,Yes,1,50,50,Low
5/27/2023,NTC0081,Loyalty,M,Food & Drinks,Cash,No,2,5,10,Low
5/27/2023,NTC0082,Loyalty,F,Online support services,Mobile Money,No,16,5,80,Low
5/27/2023,NTC0083,Non-loyalty,M,Food & Drinks,Mobile Money,No,1,40,40,Low
5/27/2023,NTC0084,Loyalty,F,Food & Drinks,Cash,No,4,5,20,Low
5/29/2023,NTC0085,Loyalty,M,Cyber services,Mobile Money,No,3,10,30,Low
5/29/2023,NTC0086,Non-loyalty,M,Stationery & Office Supplies,Mobile Money,No,1,10,10,Low
5/29/2023,NTC0087,Loyalty,F,Stationery & Office Supplies,Cash,Yes,1,10,10,Low
5/29/2023,NTC0088,Non-loyalty,M,Cyber services,Cash,Yes,16,5,80,Low
5/29/2023,NTC0089,Loyalty,F,Mobile airtime top-up,Mobile Money,No,1,20,20,Low
5/29/2023,NTC0090,Non-loyalty,F,Cyber services,Cash,No,2,50,100,High
5/29/2023,NTC0091,Loyalty,F,Food & Drinks,Cash,No,4,50,200,High
5/29/2023,NTC0092,Loyalty,F,Food & Drinks,Cash,Yes,1,60,60,Low
5/29/2023,NTC0093,Non-loyalty,F,Cyber services,Cash,No,1,70,70,Low
5/29/2023,NTC0094,Loyalty,F,Food & Drinks,Cash,Yes,2,60,120,High
5/29/2023,NTC0095,Loyalty,F,Cyber services,Cash,Yes,5,20,100,High
5/29/2023,NTC0096,Loyalty,F,Cyber services,Cash,No,2,10,20,Low
5/29/2023,NTC0097,Loyalty,F,Online support services,Mobile Money,Yes,10,30,300,High
5/29/2023,NTC0098,Non-loyalty,F,Food & Drinks,Cash,No,1,50,50,Low
5/30/2023,NTC0099,Loyalty,F,Cyber services,Mobile Money,Yes,2,10,20,Low
5/30/2023,NTC00100,Loyalty,M,Cyber services,Mobile Money,Yes,2,5,10,Low
5/30/2023,NTC00101,Loyalty,M,Stationery & Office Supplies,Mobile Money,Yes,2,10,20,Low
5/30/2023,NTC00102,Loyalty,F,Food & Drinks,Cash,Yes,1,50,50,Low
5/30/2023,NTC00103,Non-loyalty,F,Food & Drinks,Cash,Yes,1,30,30,Low
5/31/2023,NTC00104,Loyalty,F,Mobile Accessories,Mobile Money,Yes,1,150,150,High
5/31/2023,NTC00105,Loyalty,F,Food & Drinks,Cash,Yes,1,5,5,Low
5/31/2023,NTC00106,Loyalty,F,Food & Drinks,Mobile Money,No,1,60,60,Low
6/1/2023,NTC00107,Loyalty,F,Mobile airtime top-up,Cash,No,1,10,10,Low
6/1/2023,NTC00108,Loyalty,F,Online support services,Cash,No,1,20,20,Low
1/6/2023,NTC00109,Non-loyalty,F,Cyber services,Mobile Money,No,1,40,40,Low
2/6/2023,NTC00110,Loyalty,M,Food & Drinks,Mobile Money,Yes,1,60,60,Low
2/6/2023,NTC00111,Non-loyalty,F,Stationery & Office Supplies,Mobile Money,Yes,1,5,5,Low
2/6/2023,NTC00112,Loyalty,M,Stationery & Office Supplies,Cash,No,1,10,10,Low
2/6/2023,NTC00113,Loyalty,F,Food & Drinks,Mobile Money,Yes,2,60,120,High
6/5/2023,NTC00114,Loyalty,F,Food & Drinks,Cash,No,1,40,40,Low
6/5/2023,NTC00115,Non-loyalty,M,Cyber services,Cash,No,1,20,20,Low
6/5/2023,NTC00116,Loyalty,F,Cyber services,Cash,No,1,10,10,Low
6/5/2023,NTC00117,Non-loyalty,M,Food & Drinks,Mobile Money,No,1,50,50,Low
6/5/2023,NTC00118,Loyalty,F,Cyber services,Mobile Money,Yes,8,5,40,Low
6/5/2023,NTC00119,Loyalty,F,Cyber services,Mobile Money,No,1,50,50,Low
6/5/2023,NTC00120,Loyalty,M,Cyber services,Cash,Yes,1,30,30,Low
6/5/2023,NTC00121,Non-loyalty,F,Cyber services,Cash,No,4,50,200,High
6/5/2023,NTC00122,Loyalty,M,Food & Drinks,Mobile Money,No,1,50,50,Low
6/6/2023,NTC00123,Non-loyalty,F,Mobile airtime top-up,Cash,Yes,1,10,10,Low
6/6/2023,NTC00124,Non-loyalty,M,Cyber services,Cash,Yes,2,20,40,Low
6/6/2023,NTC00125,Loyalty,M,Food & Drinks,Mobile Money,No,1,60,60,Low
6/6/2023,NTC00126,Loyalty,F,Food & Drinks,Mobile Money,Yes,2,5,10,Low
6/6/2023,NTC00127,Loyalty,F,Food & Drinks,Mobile Money,Yes,1,50,50,Low
6/6/2023,NTC00128,Loyalty,M,Food & Drinks,Cash,Yes,1,30,30,Low
6/6/2023,NTC00129,Loyalty,F,Food & Drinks,Cash,Yes,1,50,50,Low
7/6/2023,NTC00130,Loyalty,F,Cyber services,Cash,Yes,7,5,35,Low
7/6/2023,NTC00131,Non-loyalty,F,Cyber services,Cash,No,1,20,20,Low
7/6/2023,NTC00132,Loyalty,M,Cyber services,Cash,No,3,10,30,Low
7/6/2023,NTC00133,Non-loyalty,M,Cyber services,Mobile Money,No,4,20,80,Low
7/6/2023,NTC00134,Non-loyalty,M,Cyber services,Cash,Yes,1,20,20,Low
7/6/2023,NTC00135,Non-loyalty,M,Food & Drinks,Cash,No,1,5,5,Low
7/6/2023,NTC00136,Loyalty,M,Food & Drinks,Cash,Yes,1,60,60,Low
8/6/2023,NTC00137,Loyalty,M,Food & Drinks,Mobile Money,No,1,50,50,Low
8/6/2023,NTC00138,Non-loyalty,M,Cyber services,Mobile Money,No,1,10,10,Low
8/6/2023,NTC00139,Loyalty,M,Cyber services,Mobile Money,Yes,21,5,105,High
8/6/2023,NTC00140,Loyalty,M,Stationery & Office Supplies,Cash,No,5,10,50,Low
8/6/2023,NTC00141,Loyalty,F,Food & Drinks,Mobile Money,Yes,1,50,50,Low
8/6/2023,NTC00142,Loyalty,M,Cyber services,Mobile Money,No,2,10,20,Low
9/6/2023,NTC00143,Loyalty,F,Cyber services,Mobile Money,Yes,3,60,180,High
9/6/2023,NTC00144,Loyalty,F,Cyber services,Cash,Yes,1,10,10,Low
9/6/2023,NTC00145,Non-loyalty,F,Online support services,Mobile Money,Yes,1,50,50,Low
9/6/2023,NTC00146,Loyalty,M,Food & Drinks,Cash,No,1,50,50,Low
9/6/2023,NTC00147,Loyalty,M,Cyber services,Cash,No,1,10,10,Low
9/6/2023,NTC00148,Loyalty,M,Cyber services,Mobile Money,No,1,5,5,Low
9/6/2023,NTC00149,Loyalty,M,Cyber services,Cash,Yes,2,10,20,Low
10/6/2023,NTC00150,Non-loyalty,F,Food & Drinks,Mobile Money,Yes,1,40,40,Low
10/6/2023,NTC00151,Loyalty,M,Mobile airtime top-up,Cash,Yes,2,20,40,Low
10/6/2023,NTC00152,Loyalty,M,Mobile airtime top-up,Mobile Money,Yes,1,10,10,Low
10/6/2023,NTC00153,Loyalty,M,Cyber services,Mobile Money,Yes,1,50,50,Low
10/6/2023,NTC00154,Non-loyalty,M,Cyber services,Mobile Money,No,5,50,250,High
10/6/2023,NTC00155,Non-loyalty,M,Cyber services,Cash,Yes,2,40,80,Low
10/6/2023,NTC00156,Loyalty,F,Stationery & Office Supplies,Mobile Money,No,1,10,10,Low
12/6/2023,NTC00157,Non-loyalty,M,Stationery & Office Supplies,Cash,Yes,1,10,10,Low
12/6/2023,NTC00158,Loyalty,F,Cyber services,Mobile Money,Yes,3,5,15,Low
12/6/2023,NTC00159,Non-loyalty,M,Cyber services,Cash,Yes,2,25,50,Low
12/6/2023,NTC00160,Loyalty,F,Cyber services,Cash,No,2,10,20,Low
12/6/2023,NTC00161,Non-loyalty,M,Stationery & Office Supplies,Mobile Money,Yes,2,10,20,Low
12/6/2023,NTC00162,Non-loyalty,M,Online support services,Mobile Money,No,1,50,50,Low
12/6/2023,NTC00163,Non-loyalty,F,Cyber services,Mobile Money,No,1,10,10,Low
12/6/2023,NTC00164,Loyalty,F,Online support services,Mobile Money,Yes,1,20,20,Low
12/6/2023,NTC00165,Non-loyalty,F,Food & Drinks,Mobile Money,Yes,2,5,10,Low
12/6/2023,NTC00166,Non-loyalty,M,Food & Drinks,Cash,No,1,80,80,Low
6/13/2023,NTC00167,Loyalty,F,Cyber services,Mobile Money,No,1,10,10,Low
6/13/2023,NTC00168,Loyalty,M,Cyber services,Mobile Money,No,9,5,45,Low
6/13/2023,NTC00169,Non-loyalty,M,Online support services,Cash,No,1,50,50,Low
6/13/2023,NTC00170,Loyalty,F,Cyber services,Mobile Money,Yes,1,50,50,Low
6/13/2023,NTC00171,Non-loyalty,F,Cyber services,Mobile Money,Yes,1,50,50,Low
6/13/2023,NTC00172,Non-loyalty,M,Cyber services,Cash,Yes,2,30,60,Low
6/14/2023,NTC00173,Non-loyalty,M,Food & Drinks,Mobile Money,No,1,5,5,Low
6/15/2023,NTC00174,Loyalty,F,Cyber services,Mobile Money,No,2,30,60,Low
6/15/2023,NTC00175,Loyalty,F,Mobile airtime top-up,Mobile Money,Yes,1,50,50,Low
6/15/2023,NTC00176,Loyalty,F,Food & Drinks,Cash,Yes,1,50,50,Low
6/16/2023,NTC00177,Loyalty,M,Food & Drinks,Mobile Money,Yes,2,50,100,High
6/16/2023,NTC00178,Loyalty,M,Cyber services,Cash,Yes,3,10,30,Low
6/16/2023,NTC00179,Loyalty,M,Food & Drinks,Mobile Money,Yes,1,50,50,Low
6/16/2023,NTC00180,Loyalty,M,Cyber services,Cash,Yes,2,30,60,Low
6/17/2023,NTC00181,Non-loyalty,M,Food & Drinks,Mobile Money,Yes,1,5,5,Low
6/17/2023,NTC00182,Non-loyalty,M,Mobile airtime top-up,Cash,No,1,20,20,Low
6/19/2023,NTC00183,Non-loyalty,F,Cyber services,Cash,Yes,2,50,100,High
6/19/2023,NTC00184,Loyalty,M,Cyber services,Cash,No,8,10,80,Low
6/19/2023,NTC00185,Loyalty,M,Cyber services,Cash,Yes,5,5,25,Low
6/19/2023,NTC00186,Loyalty,M,Food & Drinks,Cash,Yes,1,80,80,Low
6/19/2023,NTC00187,Loyalty,F,Stationery & Office Supplies,Cash,No,2,10,20,Low
6/19/2023,NTC00188,Non-loyalty,M,Food & Drinks,Mobile Money,No,4,5,20,Low
6/19/2023,NTC00189,Loyalty,M,Mobile Accessories,Mobile Money,No,1,230,230,High
6/19/2023,NTC00190,Loyalty,F,Food & Drinks,Cash,No,1,30,30,Low
6/19/2023,NTC00191,Loyalty,M,Food & Drinks,Cash,No,2,50,100,High
6/20/2023,NTC00192,Non-loyalty,M,Food & Drinks,Cash,No,1,30,30,Low
6/20/2023,NTC00193,Loyalty,M,Food & Drinks,Cash,No,2,60,120,High
6/20/2023,NTC00194,Loyalty,M,Food & Drinks,Mobile Money,Yes,1,5,5,Low
6/21/2023,NTC00195,Loyalty,M,Online support services,Cash,Yes,1,200,200,High
6/21/2023,NTC00196,Non-loyalty,F,Stationery & Office Supplies,Mobile Money,Yes,1,10,10,Low
6/21/2023,NTC00197,Loyalty,F,Food & Drinks,Mobile Money,No,1,50,50,Low
6/21/2023,NTC00198,Non-loyalty,F,Food & Drinks,Cash,Yes,4,5,20,Low
6/21/2023,NTC00199,Non-loyalty,M,Food & Drinks,Cash,No,1,5,5,Low
6/21/2023,NTC00200,Non-loyalty,M,Food & Drinks,Mobile Money,No,1,60,60,Low
6/22/2023,NTC00201,Loyalty,M,Cyber services,Mobile Money,No,1,50,50,Low
6/22/2023,NTC00202,Loyalty,F,Cyber services,Cash,Yes,39,10,390,High
6/22/2023,NTC00203,Loyalty,M,Online support services,Cash,No,2,20,40,Low
6/22/2023,NTC00204,Non-loyalty,M,Mobile airtime top-up,Cash,No,2,50,100,High
6/22/2023,NTC00205,Non-loyalty,F,Food & Drinks,Mobile Money,No,1,5,5,Low
6/22/2023,NTC00206,Loyalty,M,Food & Drinks,Mobile Money,No,1,50,50,Low
6/22/2023,NTC00207,Non-loyalty,F,Food & Drinks,Cash,Yes,2,50,100,High
6/22/2023,NTC00208,Loyalty,F,Food & Drinks,Mobile Money,Yes,1,50,50,Low
6/22/2023,NTC00209,Loyalty,F,Online support services,Mobile Money,Yes,1,150,150,High
6/22/2023,NTC00210,Non-loyalty,M,Food & Drinks,Cash,No,1,60,60,Low
6/22/2023,NTC00211,Loyalty,M,Stationery & Office Supplies,Cash,Yes,2,10,20,Low
6/23/2023,NTC00212,Non-loyalty,M,Cyber services,Mobile Money,Yes,1,5,5,Low
6/23/2023,NTC00213,Loyalty,M,Online support services,Mobile Money,No,1,20,20,Low
6/23/2023,NTC00214,Loyalty,M,Online support services,Cash,No,1,30,30,Low
6/23/2023,NTC00215,Non-loyalty,M,Cyber services,Cash,No,1,20,20,Low
6/23/2023,NTC00216,Loyalty,M,Cyber services,Cash,No,1,10,10,Low
6/23/2023,NTC00217,Loyalty,F,Stationery & Office Supplies,Cash,No,1,10,10,Low
6/23/2023,NTC00218,Loyalty,M,Food & Drinks,Cash,No,1,5,5,Low
6/23/2023,NTC00219,Loyalty,F,Food & Drinks,Mobile Money,No,1,60,60,Low
6/26/2023,NTC00220,Loyalty,M,Food & Drinks,Mobile Money,No,2,60,120,High
6/26/2023,NTC00221,Loyalty,M,Cyber services,Mobile Money,Yes,12,10,120,High
6/26/2023,NTC00222,Non-loyalty,M,Cyber services,Mobile Money,Yes,10,5,50,Low
6/26/2023,NTC00223,Loyalty,F,Mobile airtime top-up,Cash,Yes,1,20,20,Low
6/26/2023,NTC00224,Non-loyalty,F,Cyber services,Cash,Yes,1,10,10,Low
6/28/2023,NTC00225,Non-loyalty,F,Cyber services,Cash,No,1,10,10,Low
6/28/2023,NTC00226,Loyalty,F,Cyber services,Mobile Money,No,8,5,40,Low
6/28/2023,NTC00227,Non-loyalty,M,Online support services,Mobile Money,Yes,1,50,50,Low
6/28/2023,NTC00228,Loyalty,F,Food & Drinks,Mobile Money,Yes,1,5,5,Low
6/28/2023,NTC00229,Non-loyalty,M,Online support services,Cash,No,1,70,70,Low
6/28/2023,NTC00230,Loyalty,M,Cyber services,Mobile Money,No,7,20,140,High
6/28/2023,NTC00231,Loyalty,F,Cyber services,Cash,Yes,1,60,60,Low
6/29/2023,NTC00232,Non-loyalty,F,Cyber services,Cash,No,1,25,25,Low
6/30/2023,NTC00233,Loyalty,F,Online support services,Cash,No,2,50,100,High
6/30/2023,NTC00234,Non-loyalty,F,Stationery & Office Supplies,Cash,Yes,1,10,10,Low
6/30/2023,NTC00235,Loyalty,F,Mobile airtime top-up,Cash,No,1,10,10,Low
6/30/2023,NTC00236,Loyalty,F,Mobile airtime top-up,Cash,Yes,1,50,50,Low
6/30/2023,NTC00237,Non-loyalty,F,Stationery & Office Supplies,Mobile Money,No,1,120,120,High
6/30/2023,NTC00238,Non-loyalty,F,Online support services,Cash,Yes,1,70,70,Low
6/30/2023,NTC00239,Non-loyalty,M,Cyber services,Cash,No,2,20,40,Low
6/30/2023,NTC00240,Loyalty,F,Food & Drinks,Mobile Money,Yes,1,50,50,Low
6/30/2023,NTC00241,Loyalty,F,Food & Drinks,Cash,No,1,50,50,Low
6/30/2023,NTC00242,Non-loyalty,M,Food & Drinks,Mobile Money,No,1,50,50,Low
6/30/2023,NTC00243,Non-loyalty,F,Food & Drinks,Mobile Money,Yes,1,30,30,Low
7/3/2023,NTC00244,Non-loyalty,M,Cyber services,Mobile Money,No,3,10,30,Low
7/3/2023,NTC00245,Non-loyalty,M,Cyber services,Cash,No,5,5,25,Low
7/3/2023,NTC00246,Non-loyalty,F,Cyber services,Cash,No,6,10,60,Low
7/3/2023,NTC00247,Loyalty,M,Cyber services,Mobile Money,No,1,20,20,Low
7/3/2023,NTC00248,Loyalty,M,Stationery & Office Supplies,Cash,Yes,2,40,80,Low
7/3/2023,NTC00249,Non-loyalty,M,Stationery & Office Supplies,Cash,No,1,80,80,Low
7/3/2023,NTC00250,Loyalty,M,Stationery & Office Supplies,Mobile Money,Yes,2,60,120,High
7/3/2023,NTC00251,Loyalty,F,Cyber services,Mobile Money,Yes,1,50,50,Low
7/3/2023,NTC00252,Loyalty,M,Mobile airtime top-up,Cash,No,1,10,10,Low
7/3/2023,NTC00253,Loyalty,F,Mobile airtime top-up,Mobile Money,Yes,1,20,20,Low
7/3/2023,NTC00254,Non-loyalty,M,Food & Drinks,Mobile Money,Yes,4,60,240,High
7/3/2023,NTC00255,Loyalty,M,Food & Drinks,Mobile Money,No,1,40,40,Low
7/4/2023,NTC00256,Non-loyalty,M,Cyber services,Cash,No,6,5,30,Low
7/4/2023,NTC00257,Loyalty,M,Stationery & Office Supplies,Cash,No,1,5,5,Low
7/4/2023,NTC00258,Non-loyalty,F,Cyber services,Cash,Yes,5,10,50,Low
7/4/2023,NTC00259,Non-loyalty,F,Online support services,Mobile Money,No,1,50,50,Low
7/4/2023,NTC00260,Non-loyalty,M,Mobile airtime top-up,Cash,Yes,1,50,50,Low
7/4/2023,NTC00261,Non-loyalty,M,Food & Drinks,Mobile Money,No,1,50,50,Low
7/5/2023,NTC00262,Loyalty,F,Online support services,Cash,Yes,1,50,50,Low
7/5/2023,NTC00263,Non-loyalty,M,Mobile airtime top-up,Cash,No,1,20,20,Low
7/5/2023,NTC00264,Loyalty,M,Mobile airtime top-up,Mobile Money,No,1,50,50,Low
7/5/2023,NTC00265,Loyalty,M,Food & Drinks,Cash,Yes,1,50,50,Low
7/5/2023,NTC00266,Non-loyalty,F,Mobile airtime top-up,Mobile Money,No,1,50,50,Low
7/5/2023,NTC00267,Loyalty,F,Online support services,Cash,No,1,20,20,Low
7/5/2023,NTC00268,Loyalty,F,Cyber services,Cash,No,1,70,70,Low
7/5/2023,NTC00269,Non-loyalty,M,Food & Drinks,Mobile Money,No,3,50,150,High
7/5/2023,NTC00270,Loyalty,M,Food & Drinks,Mobile Money,Yes,1,50,50,Low
7/5/2023,NTC00271,Non-loyalty,F,Online support services,Mobile Money,No,16,5,80,Low
7/8/2023,NTC00272,Non-loyalty,F,Mobile airtime top-up,Cash,Yes,1,100,100,High
7/10/2023,NTC00273,Non-loyalty,F,Cyber services,Cash,Yes,7,5,35,Low
7/10/2023,NTC00274,Loyalty,F,Cyber services,Cash,Yes,1,10,10,Low
7/10/2023,NTC00275,Loyalty,M,Food & Drinks,Mobile Money,Yes,1,50,50,Low
7/10/2023,NTC00276,Loyalty,F,Mobile airtime top-up,Mobile Money,No,2,20,40,Low
7/10/2023,NTC00277,Loyalty,M,Mobile airtime top-up,Mobile Money,Yes,1,10,10,Low
7/10/2023,NTC00278,Non-loyalty,F,Food & Drinks,Cash,Yes,1,40,40,Low
7/11/2023,NTC00279,Loyalty,M,Cyber services,Cash,Yes,6,5,30,Low
7/11/2023,NTC00280,Loyalty,F,Cyber services,Mobile Money,No,1,2,2,Low
7/11/2023,NTC00281,Loyalty,F,Food & Drinks,Cash,Yes,3,5,15,Low
7/11/2023,NTC00282,Non-loyalty,F,Food & Drinks,Mobile Money,No,1,80,80,Low
7/13/2023,NTC00283,Loyalty,F,Cyber services,Cash,Yes,1,10,10,Low
7/13/2023,NTC00284,Non-loyalty,M,Cyber services,Cash,No,4,5,20,Low
7/13/2023,NTC00285,Loyalty,F,Stationery & Office Supplies,Mobile Money,Yes,2,10,20,Low
7/13/2023,NTC00286,Loyalty,M,Cyber services,Cash,No,2,50,100,High
7/13/2023,NTC00287,Loyalty,M,Stationery & Office Supplies,Cash,Yes,2,30,60,Low
7/13/2023,NTC00288,Loyalty,M,Food & Drinks,Mobile Money,No,1,30,30,Low
7/13/2023,NTC00289,Loyalty,M,Stationery & Office Supplies,Mobile Money,No,1,50,50,Low
7/14/2023,NTC00290,Non-loyalty,F,Cyber services,Cash,No,3,10,30,Low
7/14/2023,NTC00291,Non-loyalty,M,Stationery & Office Supplies,Mobile Money,No,3,10,30,Low
7/14/2023,NTC00292,Loyalty,M,Cyber services,Cash,Yes,2,5,10,Low
7/14/2023,NTC00293,Loyalty,M,Food & Drinks,Mobile Money,Yes,1,70,70,Low
7/14/2023,NTC00294,Non-loyalty,F,Food & Drinks,Cash,Yes,4,5,20,Low
7/14/2023,NTC00295,Loyalty,F,Cyber services,Cash,No,2,10,20,Low
7/14/2023,NTC00296,Loyalty,F,Cyber services,Mobile Money,No,1,30,30,Low
7/14/2023,NTC00297,Non-loyalty,F,Cyber services,Cash,No,1,20,20,Low
7/14/2023,NTC00298,Non-loyalty,M,Cyber services,Cash,Yes,1,50,50,Low
7/14/2023,NTC00299,Loyalty,M,Food & Drinks,Mobile Money,No,1,50,50,Low
